a,1.00
aardvark,1.00
abacus,0.65
abalone,0.72
abandon,1.00
abandoner,0.95
abandonment,1.00
abase,0.74
abasement,0.63
abate,0.95
abatement,0.81
abattoir,0.32
abbacy,0.10
abbess,0.37
abbey,0.86
abbot,0.75
abbreviate,1.00
abbreviated,1.00
abbreviation,1.00
abdicate,0.83
abdication,0.89
abdomen,1.00
abdominal,0.94
abduct,1.00
abduction,1.00
abductor,1.00
abeam,0.53
aberrant,0.68
aberration,0.68
abet,0.72
abettor,0.58
abeyance,0.35
abhor,0.85
abhorrent,0.78
abide,1.00
abiding,1.00
ability,1.00
abject,0.89
abjuration,0.38
abjure,0.53
ablation,0.39
ablaze,0.95
able,1.00
ablution,0.58
abnormal,1.00
abnormality,1.00
aboard,1.00
abode,0.94
abolish,0.95
abolition,1.00
abolitionism,0.95
abolitionist,0.83
abominable,1.00
abominate,0.89
abomination,1.00
aboriginal,0.84
aborigine,0.89
aborning,0.24
abort,1.00
abortion,1.00
abortionist,0.95
abortive,0.78
abound,1.00
about,1.00
above,1.00
aboveboard,0.85
aboveground,1.00
abovementioned,0.89
abracadabra,1.00
abrade,0.44
abrasion,0.95
abrasive,1.00
abrasiveness,1.00
abreaction,0.56
abreast,0.89
abridge,0.89
abridged,0.89
abridgement,0.85
abroad,1.00
abrogate,0.47
abrupt,1.00
abruption,0.94
abruptness,1.00
abscess,0.90
abscond,0.74
absconder,0.68
absence,1.00
absent,1.00
absentee,0.94
absenteeism,0.78
absentminded,1.00
absentmindedness,1.00
absinthe,0.89
absolute,1.00
absolutely,1.00
absoluteness,0.95
absolution,0.94
absolve,1.00
absolver,0.83
absorb,1.00
absorbent,1.00
absorber,1.00
absorption,0.95
abstain,1.00
abstention,0.76
abstinence,1.00
abstract,1.00
abstraction,0.94
abstractionist,0.95
abstruse,0.50
absurd,0.99
absurdist,0.57
absurdity,1.00
abundance,1.00
abundant,1.00
abuse,1.00
abuser,1.00
abusive,1.00
abusiveness,1.00
abut,0.43
abutment,0.50
abuzz,0.78
abysm,0.19
abysmal,0.95
abyss,1.00
abyssal,0.58
ac,0.42
acacia,0.57
academe,0.75
academia,0.95
academic,1.00
academician,0.74
academicism,0.56
academy,1.00
acanthus,0.33
accede,0.72
accelerando,0.20
accelerant,0.95
accelerate,1.00
accelerated,1.00
acceleration,1.00
accelerator,1.00
accent,0.95
accentuate,0.85
accept,1.00
acceptable,1.00
acceptance,1.00
acceptant,0.95
access,1.00
accessibility,1.00
accessible,1.00
accession,0.80
accessorize,1.00
accessory,1.00
accident,1.00
accidental,1.00
acclaim,1.00
acclamation,1.00
